DATA PRODUK / INVENTARIS — CV BETON AGUNG;;;;;;;;;;;
Wajib diisi | * = Kolom wajib diisi | Stok Awal berdasarkan Stock Opname fisik;;;;;;;;;;;
;;;;;;;;;;;
?  Kolom bertanda (*) WAJIB diisi. Kode Barang (SKU) harus unik. Hapus baris contoh (abu-abu) sebelum diserahkan ke tim IT.;;;;;;;;;;;
Kategori Produk;Kode Barang (SKU)*;Nama Barang*;Spesifikasi / Ukuran;Satuan Utama*;Harga Beli / HPP (Rp)*;Harga Jual (Rp)*;Stok Awal (Fisik)*;Stok Minimum;Lokasi / Gudang;Keterangan Tambahan;
Lengkungan;;Lengkungan 2,5 m;2,5 meter;Pcs;;400000;;;;;
Lengkungan;;Lengkungan 3 m;3 meter;Pcs;;450000;;;;;
Lengkungan;;Lengkungan 4 m;4 meter;Pcs;;550000;;;;;
Lengkungan;;Lengkungan Balok Lurus;3 meter;Pcs;;350000;;;;;
Tutup Kepala Tiang;;Genteng Traso;30 cm;Pcs;;90000;;;;;
Tutup Kepala Tiang;;Genteng Polos;30 cm;Pcs;;80000;;;;;
Tutup Kepala Tiang;;Limas;30 cm;Pcs;;80000;;;;;
Tutup Kepala Tiang;;Pentol;32 x 32 cm;Pcs;;60000;;;;;
Tutup Kepala/Kaki Tiang;;Mahkota Bintang 22 cm Traso;22 cm;Pcs;;70000;;;;;
Tutup Kepala/Kaki Tiang;;Mahkota Bintang 25 cm Traso;25 cm;Pcs;;80000;;;;;
Tutup Kepala/Kaki Tiang;;Mahkota Bintang 30 cm Traso;30 cm;Pcs;;90000;;;;;
Tutup Kepala/Kaki Tiang;;Mahkota Bintang 35 cm Traso;35 cm;Pcs;;100000;;;;;
Tutup Kepala/Kaki Tiang;;Mahkota Bintang 40 cm Traso;40 cm;Pcs;;110000;;;;;
Tutup Kepala/Kaki Tiang;;Mahkota Bintang 22 cm Polos;22 cm;Pcs;;60000;;;;;
Tutup Kepala/Kaki Tiang;;Mahkota Bintang 25 cm Polos;25 cm;Pcs;;70000;;;;;
Tutup Kepala/Kaki Tiang;;Mahkota Bintang 30 cm Polos;30 cm;Pcs;;80000;;;;;
Tutup Kepala/Kaki Tiang;;Mahkota Bintang 35 cm Polos;35 cm;Pcs;;90000;;;;;
Tutup Kepala/Kaki Tiang;;Mahkota Bintang 40 cm Polos;40 cm;Pcs;;100000;;;;;
Tutup Kepala/Kaki Tiang;;Persegi Panjang 25 x 40;25 x 40 cm;Pcs;;120000;;;;;
Tutup Kepala/Kaki Tiang;;Persegi Panjang 30 x 40;30 x 40 cm;Pcs;;130000;;;;;
Tutup Kepala/Kaki Tiang;;Bulat 22;22 cm;Pcs;;100000;;;;;
Tutup Kepala/Kaki Tiang;;Bulat 25;25 cm;Pcs;;125000;;;;;
Tutup Kepala/Kaki Tiang;;Bulat 30;30 cm;Pcs;;150000;;;;;
Tutup Kepala/Kaki Tiang;;Bulat 35;35 cm;Pcs;;200000;;;;;
Tutup Kepala/Kaki Tiang;;Bulat 40;40 cm;Pcs;;250000;;;;;
Mahkota Ukir;;Mahkota Ukir 22 cm;22 cm;Pcs;;400000;;;;;
Mahkota Ukir;;Mahkota Ukir 25 cm;25 cm;Pcs;;900000;;;;;
Mahkota Ukir;;Mahkota Ukir 30 cm;30 cm;Pcs;;1400000;;;;;
Mahkota Ukir;;Mahkota Ukir 35 cm;35 cm;Pcs;;1800000;;;;;
Mahkota Ukir;;Mahkota Ukir 40 cm;40 cm;Pcs;;1800000;;;;;
Mahkota Ukir;;Mahkota Ukir 45 cm;45 cm;Pcs;;2000000;;;;;
Mahkota Ukir;;Mahkota Ukir 50cm;50cm;Pcs;;2400000;;;;;
Tiang Serut;;Tiang Serut Kotak 20 cm;20 x 20 cm;Meter;;275000;;;;;
Tiang Serut;;Tiang Serut Kotak 22 cm;22 x 22 cm;Meter;;300000;;;;;
Tiang Serut;;Tiang Serut Kotak 25 cm;25 x 25 cm;Meter;;400000;;;;;
Tiang Serut;;Tiang Serut Kotak 30 cm;30 x 30 cm;Meter;;450000;;;;;
Tiang Serut;;Tiang Serut Kotak 35 cm;35 x 35 cm;Meter;;500000;;;;;
Tiang Serut;;Tiang Serut Kotak 40 cm;40 x 40 cm;Meter;;550000;;;;;
Tiang Serut;;Tiang Serut Kotak 50 cm;50 x 50 cm;Meter;;600000;;;;;
Tiang Serut;;Tiang Serut Bulat 20 cm;20 x 20 cm;Meter;;225000;;;;;
Tiang Serut;;Tiang Serut Bulat 22 cm;22 x 22 cm;Meter;;250000;;;;;
Tiang Serut;;Tiang Serut Bulat 25 cm;25 x 25 cm;Meter;;350000;;;;;
Tiang Serut;;Tiang Serut Bulat 30 cm;30 x 30 cm;Meter;;400000;;;;;
Tiang Serut;;Tiang Serut Bulat 35 cm;35 x 35 cm;Meter;;450000;;;;;
